filepath,label
train\all_coins\2895e89ff2.jpg,all_coins
train\all_coins\a19f00a771.jpg,all_coins
train\all_coins\23560e97ad.jpg,all_coins
train\all_coins\4fe02e46cb.jpg,all_coins
train\all_coins\97e6af6151.jpg,all_coins
train\all_coins\342d14adbd.jpg,all_coins
train\all_coins\4ba1b09981.jpg,all_coins
train\all_coins\8e89dfa19b.jpg,all_coins
train\all_coins\3d315bb61e.jpg,all_coins
train\all_coins\c20d83cdfe.jpg,all_coins
train\all_coins\afed6c9305.jpg,all_coins
train\all_coins\c3ddc33f41.jpg,all_coins
train\all_coins\5edc210162.jpg,all_coins
train\all_coins\f14da4ee62.jpg,all_coins
train\all_coins\44e195e1ef.jpg,all_coins
train\all_coins\0992f9217f.jpg,all_coins
train\all_coins\566b1031a8.jpg,all_coins
train\all_coins\0391d1cd81.jpg,all_coins
train\all_coins\e7047cebbb.jpg,all_coins
train\all_coins\bd7c825ab5.jpg,all_coins
train\all_coins\16f46adcc2.jpg,all_coins
train\all_coins\898beeed4c.jpg,all_coins
train\all_coins\cb4769d1a9.jpg,all_coins
train\all_coins\c0ac04a0cf.jpg,all_coins
train\all_coins\d339767881.jpg,all_coins
train\all_coins\31357b26f3.jpg,all_coins
train\all_coins\7ce16206bb.jpg,all_coins
train\all_coins\025c8579f0.jpg,all_coins
train\all_coins\72d0dbe5f5.jpg,all_coins
train\all_coins\afc5895108.jpg,all_coins
train\all_coins\ecf7752465.jpg,all_coins
train\all_coins\028ca794e7.jpg,all_coins
train\all_coins\0c0f693a3e.jpg,all_coins
train\all_coins\7779953784.jpg,all_coins
train\all_coins\321f79f6bb.jpg,all_coins
train\all_coins\e48a9d76fa.jpg,all_coins
train\all_coins\b61d911828.jpg,all_coins
train\all_coins\87f4bed37f.jpg,all_coins
train\all_coins\4464e8c6c9.jpg,all_coins
train\all_coins\3613533eef.jpg,all_coins
train\all_coins\980bc77535.jpg,all_coins
train\all_coins\6c8ccc2bdc.jpg,all_coins
train\all_coins\94b5bdb199.jpg,all_coins
train\all_coins\06de4d46b4.jpg,all_coins
train\all_coins\be037b359a.jpg,all_coins
train\all_coins\06dbf139bd.jpg,all_coins
train\all_coins\078aaee7f6.jpg,all_coins
train\all_coins\2c8f0e58fb.jpg,all_coins
train\all_coins\9ab6493bdc.jpg,all_coins
train\all_coins\9bdccee820.jpg,all_coins
train\all_coins\569a5a3984.jpg,all_coins
train\all_coins\7c3720e174.jpg,all_coins
train\all_coins\c36182ac9a.jpg,all_coins
train\all_coins\4e95f6db6a.jpg,all_coins
train\all_coins\d4a5b2ad56.jpg,all_coins
train\all_coins\4e9e203a40.jpg,all_coins
train\all_coins\6bf4f833a4.jpg,all_coins
train\all_coins\0c7067ece2.jpg,all_coins
train\all_coins\42a0da06b7.jpg,all_coins
train\all_coins\dc76e7bc74.jpg,all_coins
train\all_coins\9e575d70ea.jpg,all_coins
train\all_coins\4359d7bf90.jpg,all_coins
train\all_coins\01207e3d7e.jpg,all_coins
train\all_coins\d0a3c1f8d3.jpg,all_coins
train\all_coins\79eb826b40.jpg,all_coins
train\all_coins\e982d8d424.jpg,all_coins
train\all_coins\2bf5e82e5a.jpg,all_coins
train\all_coins\6d4d37ae2c.jpg,all_coins
train\all_coins\98e915fe15.jpg,all_coins
train\all_coins\8605748432.jpg,all_coins
train\all_coins\6d2e7e9448.jpg,all_coins
train\all_coins\c13910bc18.jpg,all_coins
train\all_coins\d3a549a4ac.jpg,all_coins
train\all_coins\f5fd0e7e9b.jpg,all_coins
train\all_coins\24699d577c.jpg,all_coins
train\all_coins\bb8b54822f.jpg,all_coins
train\all_coins\bc673941fb.jpg,all_coins
train\all_coins\50e7fe98b7.jpg,all_coins
train\all_coins\3731e4b26c.jpg,all_coins
train\all_coins\ad43774456.jpg,all_coins
train\all_coins\85e4b42fb6.jpg,all_coins
train\all_coins\4e47138c7e.jpg,all_coins
train\all_coins\b2ff113277.jpg,all_coins
train\all_coins\a5faa8e072.jpg,all_coins
train\all_coins\50797d435f.jpg,all_coins
train\all_coins\1573c64a86.jpg,all_coins
train\all_coins\9082197e8c.jpg,all_coins
train\all_coins\d87fde36bf.jpg,all_coins
train\all_coins\e58d420bba.jpg,all_coins
train\all_coins\782058a969.jpg,all_coins
train\all_coins\44cf53bcde.jpg,all_coins
train\all_coins\716dcf2d66.jpg,all_coins
train\all_coins\f8cc6f7201.jpg,all_coins
train\all_coins\35f856e199.jpg,all_coins
train\all_coins\868bb275c3.jpg,all_coins
train\all_coins\962d332c3c.jpg,all_coins
train\all_coins\419d2d60c3.jpg,all_coins
train\all_coins\a61fb409e8.jpg,all_coins
train\all_coins\6da8539078.jpg,all_coins
train\all_coins\8c7c691333.jpg,all_coins
train\all_coins\b490ad931a.jpg,all_coins
train\all_coins\a15f18c804.jpg,all_coins
train\all_coins\670dc0a72f.jpg,all_coins
train\all_coins\b36a35b1cf.jpg,all_coins
train\all_coins\abd33e40b9.jpg,all_coins
train\all_coins\2564ee861d.jpg,all_coins
train\all_coins\990db901a0.jpg,all_coins
train\all_coins\cb1e6a6967.jpg,all_coins
train\all_coins\5189314af4.jpg,all_coins
train\all_coins\e893dcbca8.jpg,all_coins
train\all_coins\444107b8c9.jpg,all_coins
train\all_coins\908f1fc748.jpg,all_coins
train\all_coins\97868f7555.jpg,all_coins
train\all_coins\87a1c3b8af.jpg,all_coins
train\all_coins\bd5e683f30.jpg,all_coins
train\all_coins\7c13cfe7f1.jpg,all_coins
train\all_coins\4a4bd0f725.jpg,all_coins
train\all_coins\d74bf34efc.jpg,all_coins
train\all_coins\207092513f.jpg,all_coins
train\all_coins\e5498c038d.jpg,all_coins
train\all_coins\26fb204f51.jpg,all_coins
train\all_coins\3c64dca0b6.jpg,all_coins
train\all_coins\c45fe65ea2.jpg,all_coins
train\all_coins\6dc3173bf2.jpg,all_coins
train\all_coins\02e080206f.jpg,all_coins
train\all_coins\7262427976.jpg,all_coins
train\all_coins\21ad309395.jpg,all_coins
train\all_coins\0bcb8457d5.jpg,all_coins
train\all_coins\563563f749.jpg,all_coins
train\all_coins\ecb30e89ac.jpg,all_coins
train\all_coins\48fa79d7ae.jpg,all_coins
train\all_coins\a188d78b85.jpg,all_coins
train\all_coins\85db729dc0.jpg,all_coins
train\all_coins\b05183cf6c.jpg,all_coins
train\all_coins\f35a790bd0.jpg,all_coins
train\all_coins\31e4b72f06.jpg,all_coins
train\all_coins\14080c2080.jpg,all_coins
train\all_coins\47b061170d.jpg,all_coins
train\all_coins\3fa08174b0.jpg,all_coins
train\all_coins\5f8a04cee8.jpg,all_coins
train\all_coins\61958bd2dd.jpg,all_coins
train\all_coins\2fc068f84e.jpg,all_coins
train\all_coins\612e80df45.jpg,all_coins
train\all_coins\7e122f5d1f.jpg,all_coins
train\all_coins\c2d0445950.jpg,all_coins
